연번,SUBWAY_ID,STATN_NM,운행시간,역간거리(km),호선별누계(km)
1,1001,서울,0:00,0,0
2,1001,시청,2:00,1.1,1.1
3,1001,종각,2:00,1,2.1
4,1001,종로3가,1:30,0.8,2.9
5,1001,종로5가,1:30,0.9,3.8
6,1001,동대문,1:30,0.8,4.6
7,1001,동묘앞,1:00,0.6,5.2
8,1001,신설동,1:30,0.7,5.9
9,1001,제기동,1:30,0.9,6.8
10,1001,청량리,1:30,1,7.8
11,1002,시청,0:00,0,0
12,1002,을지로입구,1:30,0.7,0.7
13,1002,을지로3가,1:00,0.8,1.5
14,1002,을지로4가,1:00,0.6,2.1
15,1002,동대문역사문화공원,1:30,1,3.1
16,1002,신당,1:30,0.9,4
17,1002,상왕십리,1:00,0.9,4.9
18,1002,왕십리,1:00,0.8,5.7
19,1002,한양대,1:30,1,6.7
20,1002,뚝섬,1:30,1.1,7.8
21,1002,성수,1:00,0.8,8.6
22,1002,건대입구,1:30,1.2,9.8
23,1002,구의,2:00,1.6,11.4
24,1002,강변,1:00,0.9,12.3
25,1002,잠실나루,2:00,1.8,14.1
26,1002,잠실,1:30,1,15.1
27,1002,잠실새내,1:30,1.2,16.3
28,1002,종합운동장,1:30,1.2,17.5
29,1002,삼성,1:30,1,18.5
30,1002,선릉,1:30,1.3,19.8
31,1002,역삼,1:30,1.2,21
32,1002,강남,1:00,0.8,21.8
33,1002,교대,1:30,1.2,23
34,1002,서초,1:00,0.7,23.7
35,1002,방배,2:00,1.7,25.4
36,1002,사당,2:30,1.6,27
37,1002,낙성대,2:00,1.7,28.7
38,1002,서울대입구,1:30,1,29.7
39,1002,봉천,1:00,1,30.7
40,1002,신림,1:30,1.1,31.8
41,1002,신대방,2:00,1.8,33.6
42,1002,구로디지털단지,1:30,1.1,34.7
43,1002,대림,1:30,1.1,35.8
44,1002,신도림,2:30,1.8,37.6
45,1002,문래,2:00,1.2,38.8
46,1002,영등포구청,1:00,0.9,39.7
47,1002,당산,1:30,1.1,40.8
48,1002,합정,2:30,2,42.8
49,1002,홍대입구,1:30,1.1,43.9
50,1002,신촌,2:00,1.3,45.2
51,1002,이대,1:00,0.8,46
52,1002,아현,1:00,0.9,46.9
53,1002,충정로,1:30,0.8,47.7
54,1002,시청,1:30,1.1,48.8
55,1002,용답,3:00,2.3,51.1
56,1002,신답,1:30,1,52.1
57,1002,용두,1:30,0.9,53
58,1002,신설동,1:30,1.2,54.2
59,1002,도림천,1:30,1,55.2
60,1002,양천구청,2:30,1.7,56.9
61,1002,신정네거리,3:00,1.9,58.8
62,1002,까치산,2:30,1.4,60.2
