철도운영기관명,선명,역명,역간거리(km)
코레일,4호선,대공원,1
코레일,4호선,과천,1
코레일,4호선,인덕원,3
코레일,4호선,범계,2.6
코레일,4호선,대야미,2.6
코레일,4호선,반월,2
코레일,4호선,정부과천청사,3
코레일,4호선,한대앞,1.6
코레일,4호선,선바위,0.9
코레일,4호선,경마공원,0.9
코레일,4호선,평촌,1.6
코레일,4호선,산본,2.3
코레일,4호선,수리산,1.1
코레일,4호선,상록수,3.7
코레일,4호선,중앙,1.6
코레일,4호선,초지,1.5
코레일,4호선,안산,1.8
코레일,4호선,신길온천,2.2
코레일,4호선,정왕,2.9
코레일,4호선,오이도,1.4
코레일,4호선,금정,2.6
코레일,4호선,고잔,1.4
서울교통공사,4호선,당고개,0
서울교통공사,4호선,상계,1.2
서울교통공사,4호선,노원,1
서울교통공사,4호선,창동,1.4
서울교통공사,4호선,쌍문,1.3
서울교통공사,4호선,수유(강북구청),1.5
서울교통공사,4호선,미아,1.4
서울교통공사,4호선,미아사거리,1.5
서울교통공사,4호선,길음,1.3
서울교통공사,4호선,성신여대입구(돈암),2.4
서울교통공사,4호선,한성대입구(삼선교),0
서울교통공사,4호선,혜화,0.9
서울교통공사,4호선,동대문,1.5
서울교통공사,4호선,동대문역사문화공원,0.7
서울교통공사,4호선,충무로,1.3
서울교통공사,4호선,명동,0.7
서울교통공사,4호선,회현(남대문시장),0.7
서울교통공사,4호선,서울역,0.9
서울교통공사,4호선,숙대입구(갈월),1
서울교통공사,4호선,삼각지,1.2
서울교통공사,4호선,신용산,0.7
서울교통공사,4호선,이촌(국립중앙박물관),1.3
서울교통공사,4호선,동작(현충원),2.7
서울교통공사,4호선,총신대입구(이수),1.8
서울교통공사,4호선,사당,1.1
서울교통공사,4호선,남태령,1.6
