철도운영기관명,선명,역명,역간거리
서울교통공사,9호선,개화,0
서울교통공사,9호선,김포공항,3.6
서울교통공사,9호선,공항시장,0.8
서울교통공사,9호선,신방화,0.8
서울교통공사,9호선,마곡나루(서울식물원),0.9
서울교통공사,9호선,양천향교,1.4
서울교통공사,9호선,가양,1.3
서울교통공사,9호선,증미,0.7
서울교통공사,9호선,등촌,1
서울교통공사,9호선,염창,0.9
서울교통공사,9호선,신목동,0.9
서울교통공사,9호선,선유도,1.2
서울교통공사,9호선,당산,1
서울교통공사,9호선,국회의사당,1.5
서울교통공사,9호선,여의도,0.9
서울교통공사,9호선,샛강,0.8
서울교통공사,9호선,노량진,1.2
서울교통공사,9호선,노들,1.1
서울교통공사,9호선,흑석(중앙대입구),1.1
서울교통공사,9호선,동작(현충원),1.4
서울교통공사,9호선,구반포,1
서울교통공사,9호선,신반포,0.7
서울교통공사,9호선,고속터미널,0.8
서울교통공사,9호선,사평,1.1
서울교통공사,9호선,신논현(르메르디앙호텔),0.9
서울교통공사,9호선,언주(강남차병원),0.8
서울교통공사,9호선,선정릉,0.9
서울교통공사,9호선,삼성중앙,0.8
서울교통공사,9호선,봉은사,0.8
서울교통공사,9호선,종합운동장,1.4
서울교통공사,9호선,삼전,1.4
서울교통공사,9호선,석촌고분,0.8
서울교통공사,9호선,석촌,1
서울교통공사,9호선,송파나루,0.8
서울교통공사,9호선,한성백제,0.8
서울교통공사,9호선,올림픽공원(한국체대),1.4
서울교통공사,9호선,둔촌오륜,1
서울교통공사,9호선,중앙보훈병원,1.7
